股票代码,原数量,现数量,删除数量,原开始,原结束,现开始,现结束
000001,2428,2424,4,2026/3/5,2016/3/7,2026-03-05,2016-03-11
000002,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000008,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000009,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000027,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000039,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000060,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000061,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000063,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000069,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000100,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000156,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000157,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000166,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000333,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000338,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000402,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000413,2087,2086,1,2024-10-11,2016-03-10,2024-10-11,2016-03-11
000415,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000423,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000425,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000503,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000538,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000540,1778,1777,1,2023-06-30,2016-03-10,2023-06-30,2016-03-11
000555,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
000559,2426,2425,1,2026-03-06,2016-03-10,2026-03-06,2016-03-11
