日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-06-14,600153,建发股份,10.38,10.38,10.38,10.38,8778,13676124.0,0.0,-14.29,-1.73,0.03
2016-06-15,600153,建发股份,8.82,8.82,8.82,8.82,90776,127267952.0,0.0,-15.03,-1.56,0.32
2016-06-16,600153,建发股份,7.42,7.42,7.42,7.42,161052,203247624.0,0.0,-15.87,-1.4,0.57
2016-06-17,600153,建发股份,6.32,6.44,6.82,6.25,3379275,3896319600.0,7.68,-13.21,-0.98,11.92
2016-06-20,600153,建发股份,6.09,6.07,6.31,6.01,1532561,1717256352.0,4.66,-5.75,-0.37,5.41
2016-06-21,600153,建发股份,6.16,6.24,6.34,6.05,1287692,1454424144.0,4.78,2.8,0.17,4.54
2016-06-22,600153,建发股份,6.22,6.23,6.33,6.11,828325,937380048.0,3.53,-0.16,-0.01,2.92
2016-06-23,600153,建发股份,6.23,6.06,6.28,6.02,731233,818893488.0,4.17,-2.73,-0.17,2.58
2016-06-24,600153,建发股份,6.08,5.84,6.16,5.46,979079,1075051408.0,11.55,-3.63,-0.22,3.45
2016-06-27,600153,建发股份,5.75,6.07,6.1,5.75,706514,780595840.0,5.99,3.94,0.23,2.49
2016-06-28,600153,建发股份,6.0,6.1,6.11,5.93,704649,784241936.0,2.97,0.49,0.03,2.49
2016-06-29,600153,建发股份,6.23,7.0,7.22,6.11,2118434,2504216304.0,18.2,14.75,0.9,7.47
2016-06-30,600153,建发股份,6.81,6.9,7.23,6.7,1380707,1663547024.0,7.57,-1.43,-0.1,4.87
2016-07-01,600153,建发股份,6.9,6.76,7.09,6.71,791361,947170032.0,5.51,-2.03,-0.14,2.79
2016-07-04,600153,建发股份,6.58,6.8,6.85,6.51,871560,1030372128.0,5.03,0.59,0.04,3.07
2016-07-05,600153,建发股份,6.81,6.7,6.85,6.63,816888,965636048.0,3.24,-1.47,-0.1,2.88
2016-07-06,600153,建发股份,6.7,6.59,6.73,6.54,564856,660882080.0,2.84,-1.64,-0.11,1.99
2016-07-07,600153,建发股份,6.68,6.61,6.83,6.53,729101,857114208.0,4.55,0.3,0.02,2.57
2016-07-08,600153,建发股份,6.61,6.42,6.61,6.4,587385,678364288.0,3.18,-2.87,-0.19,2.07
2016-07-11,600153,建发股份,6.41,6.18,6.47,6.17,722848,827667328.0,4.67,-3.74,-0.24,2.55
2016-07-12,600153,建发股份,6.17,6.26,6.28,5.94,689186,773167552.0,5.5,1.29,0.08,2.43
2016-07-13,600153,建发股份,6.26,6.76,6.98,6.2,1367603,1599466384.0,12.46,7.99,0.5,4.82
2016-07-14,600153,建发股份,6.69,6.54,6.9,6.46,751423,878943216.0,6.51,-3.25,-0.22,2.65
2016-07-15,600153,建发股份,6.5,6.42,6.57,6.38,454093,524616896.0,2.91,-1.83,-0.12,1.6
2016-07-18,600153,建发股份,6.35,6.22,6.4,6.17,478308,543118032.0,3.58,-3.12,-0.2,1.69
2016-07-19,600153,建发股份,6.23,6.48,6.53,6.21,527058,605299344.0,5.14,4.18,0.26,1.86
2016-07-20,600153,建发股份,6.5,6.35,6.53,6.32,380589,437662480.0,3.24,-2.01,-0.13,1.34
2016-07-21,600153,建发股份,6.39,6.38,6.6,6.31,544761,629050112.0,4.57,0.47,0.03,1.92
2016-07-22,600153,建发股份,6.36,6.28,6.47,6.25,353015,403685680.0,3.45,-1.57,-0.1,1.25
2016-07-25,600153,建发股份,6.25,6.28,6.33,6.2,333476,378942720.0,2.07,0.0,0.0,1.18
2016-07-26,600153,建发股份,6.29,6.56,6.63,6.26,781340,905489392.0,5.89,4.46,0.28,2.76
2016-07-27,600153,建发股份,6.6,6.28,6.66,5.87,869027,993914496.0,12.04,-4.27,-0.28,3.07
2016-07-28,600153,建发股份,6.18,6.13,6.3,5.97,450395,505580688.0,5.25,-2.39,-0.15,1.59
2016-07-29,600153,建发股份,6.13,6.15,6.25,6.02,333603,374569456.0,3.75,0.33,0.02,1.18
2016-08-01,600153,建发股份,6.08,6.04,6.13,5.94,289958,322858624.0,3.09,-1.79,-0.11,1.02
2016-08-02,600153,建发股份,6.05,6.05,6.08,5.98,248001,276038496.0,1.66,0.17,0.01,0.87
2016-08-03,600153,建发股份,6.05,6.05,6.12,6.01,308154,343845264.0,1.82,0.0,0.0,1.09
2016-08-04,600153,建发股份,6.07,6.16,6.18,5.96,445871,498202912.0,3.64,1.82,0.11,1.57
2016-08-05,600153,建发股份,6.18,6.04,6.18,6.03,297643,333157296.0,2.44,-1.95,-0.12,1.05
2016-08-08,600153,建发股份,6.05,6.15,6.28,5.96,412248,463466144.0,5.3,1.82,0.11,1.45
2016-08-09,600153,建发股份,6.16,6.2,6.21,6.1,346336,390040336.0,1.79,0.81,0.05,1.22
2016-08-10,600153,建发股份,6.24,6.11,6.24,6.1,294877,331602064.0,2.26,-1.45,-0.09,1.04
2016-08-11,600153,建发股份,6.08,5.97,6.11,5.97,344268,383051408.0,2.29,-2.29,-0.14,1.21
2016-08-12,600153,建发股份,6.01,6.2,6.21,5.97,484771,543692352.0,4.02,3.85,0.23,1.71
2016-08-15,600153,建发股份,6.25,6.95,7.3,6.18,1992990,2372238960.0,18.06,12.1,0.75,7.03
2016-08-16,600153,建发股份,7.02,7.12,7.49,7.02,1786721,2212230608.0,6.76,2.45,0.17,6.3
2016-08-17,600153,建发股份,7.08,7.07,7.08,6.78,953096,1147058544.0,4.21,-0.7,-0.05,3.36
2016-08-18,600153,建发股份,7.03,7.39,7.76,7.0,1583992,1986435024.0,10.75,4.53,0.32,5.59
2016-08-19,600153,建发股份,7.43,7.29,7.55,7.15,760061,941835824.0,5.41,-1.35,-0.1,2.68
2016-08-22,600153,建发股份,7.21,6.96,7.3,6.95,588267,715795824.0,4.8,-4.53,-0.33,2.07
2016-08-23,600153,建发股份,6.91,6.98,7.11,6.82,453053,547057840.0,4.17,0.29,0.02,1.6
2016-08-24,600153,建发股份,6.98,6.79,7.04,6.75,470941,563593872.0,4.15,-2.72,-0.19,1.66
2016-08-25,600153,建发股份,6.69,6.58,6.69,6.5,472720,551606736.0,2.8,-3.09,-0.21,1.67
2016-08-26,600153,建发股份,6.61,6.64,6.74,6.6,326480,383670752.0,2.13,0.91,0.06,1.15
2016-08-29,600153,建发股份,6.62,6.78,6.87,6.57,322567,382671104.0,4.52,2.11,0.14,1.14
2016-08-30,600153,建发股份,6.78,6.86,6.87,6.61,286151,338654736.0,3.83,1.18,0.08,1.01
2016-08-31,600153,建发股份,6.78,6.83,6.99,6.72,408439,488721888.0,3.94,-0.44,-0.03,1.44
2016-09-01,600153,建发股份,6.81,6.62,6.93,6.6,346132,410066960.0,4.83,-3.07,-0.21,1.22
2016-09-02,600153,建发股份,6.55,6.65,6.67,6.55,263754,308902016.0,1.81,0.45,0.03,0.93
2016-09-05,600153,建发股份,6.66,6.57,6.71,6.53,252205,295389440.0,2.71,-1.2,-0.08,0.89
2016-09-06,600153,建发股份,6.57,6.64,6.65,6.3,353176,409345008.0,5.33,1.07,0.07,1.25
2016-09-07,600153,建发股份,6.6,6.54,6.68,6.5,334220,390518064.0,2.71,-1.51,-0.1,1.18
2016-09-08,600153,建发股份,6.54,6.51,6.6,6.46,215878,251120589.0,2.14,-0.46,-0.03,0.76
2016-09-09,600153,建发股份,6.52,6.37,6.54,6.36,258615,298467120.0,2.76,-2.15,-0.14,0.91
2016-09-12,600153,建发股份,6.1,6.13,6.15,5.96,493189,550487600.0,2.98,-3.77,-0.24,1.74
2016-09-13,600153,建发股份,6.12,6.09,6.17,6.02,245366,274363472.0,2.45,-0.65,-0.04,0.87
2016-09-14,600153,建发股份,6.05,6.01,6.06,5.97,191302,212472968.0,1.48,-1.31,-0.08,0.67
2016-09-19,600153,建发股份,6.0,6.06,6.11,5.98,145647,162575837.0,2.16,0.83,0.05,0.51
2016-09-20,600153,建发股份,6.06,6.03,6.11,6.01,143531,160000881.0,1.65,-0.5,-0.03,0.51
2016-09-21,600153,建发股份,6.03,6.08,6.09,6.02,136089,151890735.0,1.16,0.83,0.05,0.48
2016-09-22,600153,建发股份,6.12,6.33,6.37,6.1,459351,522834992.0,4.44,4.11,0.25,1.62
2016-09-23,600153,建发股份,6.31,6.12,6.35,6.12,226555,255868469.0,3.63,-3.32,-0.21,0.8
2016-09-26,600153,建发股份,6.14,5.94,6.14,5.92,259227,287808128.0,3.59,-2.94,-0.18,0.91
2016-09-27,600153,建发股份,5.94,6.04,6.04,5.91,155284,172178799.0,2.19,1.68,0.1,0.55
2016-09-28,600153,建发股份,6.08,5.97,6.08,5.95,139259,154321350.0,2.15,-1.16,-0.07,0.49
2016-09-29,600153,建发股份,5.95,5.97,6.02,5.94,157714,174797773.0,1.34,0.0,0.0,0.56
2016-09-30,600153,建发股份,5.96,5.99,6.04,5.96,125617,139373207.0,1.34,0.34,0.02,0.44
2016-10-10,600153,建发股份,6.02,6.06,6.07,5.92,289984,321928208.0,2.5,1.17,0.07,1.02
2016-10-11,600153,建发股份,6.06,6.13,6.13,5.99,272491,304448240.0,2.31,1.16,0.07,0.96
2016-10-12,600153,建发股份,6.09,6.14,6.24,6.06,248616,279901136.0,2.94,0.16,0.01,0.88
2016-10-13,600153,建发股份,6.12,6.12,6.16,6.06,189429,212395598.0,1.63,-0.33,-0.02,0.67
2016-10-14,600153,建发股份,6.12,6.03,6.12,5.98,202349,225078871.0,2.29,-1.47,-0.09,0.71
2016-10-17,600153,建发股份,6.04,6.06,6.19,6.03,264752,296425840.0,2.65,0.5,0.03,0.93
2016-10-18,600153,建发股份,6.05,6.16,6.19,6.02,325101,364585840.0,2.81,1.65,0.1,1.15
2016-10-19,600153,建发股份,6.15,6.09,6.19,6.08,223200,250562023.0,1.79,-1.14,-0.07,0.79
2016-10-20,600153,建发股份,6.1,6.12,6.15,6.07,178015,199560638.0,1.31,0.49,0.03,0.63
2016-10-21,600153,建发股份,6.11,6.06,6.16,6.01,247381,276663696.0,2.45,-0.98,-0.06,0.87
2016-10-24,600153,建发股份,6.1,6.19,6.33,6.04,449994,507378112.0,4.79,2.15,0.13,1.59
2016-10-25,600153,建发股份,6.22,6.15,6.24,6.12,290478,326757504.0,1.94,-0.65,-0.04,1.02
2016-10-26,600153,建发股份,6.14,6.1,6.19,6.08,233401,262101243.0,1.79,-0.81,-0.05,0.82
2016-10-27,600153,建发股份,6.09,6.07,6.11,6.03,205447,229262456.0,1.31,-0.49,-0.03,0.72
2016-10-28,600153,建发股份,6.07,6.02,6.11,6.01,188040,209558583.0,1.65,-0.82,-0.05,0.66
2016-10-31,600153,建发股份,5.95,5.99,6.01,5.92,188479,208487145.0,1.5,-0.5,-0.03,0.66
2016-11-01,600153,建发股份,5.99,6.02,6.03,5.95,203896,226213095.0,1.34,0.5,0.03,0.72
2016-11-02,600153,建发股份,5.99,5.92,6.0,5.9,295236,326077504.0,1.66,-1.66,-0.1,1.04
2016-11-03,600153,建发股份,5.9,5.93,5.97,5.86,249536,275005120.0,1.86,0.17,0.01,0.88
2016-11-04,600153,建发股份,5.91,6.01,6.15,5.9,384243,427380800.0,4.22,1.35,0.08,1.36
2016-11-07,600153,建发股份,6.01,5.97,6.05,5.94,212697,235664466.0,1.83,-0.67,-0.04,0.75
