日期,股票代码,开盘,最高,最低,收盘,成交量,成交额
2016-03-11,601928,7.057109,7.1370008,6.94392895,7.06376665,6932292,73272685.0
2016-03-14,601928,7.15697375,7.456568,7.11702785,7.34338795,13259174,146542424.0
2016-03-15,601928,7.34338795,7.38333385,7.17028905,7.27681145,8824704,96328076.0
2016-03-16,601928,7.26349615,7.37001855,7.1769467,7.2435232,12077965,131631933.0
2016-03-17,601928,7.2435232,7.5098292,7.2435232,7.4831986,16855118,188234673.0
2016-03-18,601928,7.5231445,7.7761352,7.47654095,7.68958575,24838525,286134304.0
2016-03-21,601928,7.7894505,7.90263055,7.7361893,7.87599995,22931333,269357472.0
2016-03-22,601928,7.79610815,8.08904475,7.7628199,7.9226035,21044316,251809649.0
2016-03-23,601928,7.8427117,7.95589175,7.78279285,7.88931525,11878889,140094552.0
2016-03-24,601928,7.82273875,7.82273875,7.6562975,7.67627045,13437338,156173230.0
2016-03-25,601928,7.63632455,7.8293964,7.63632455,7.80942345,10224983,119033052.0
2016-03-28,601928,7.80942345,7.9625494,7.5764057,7.6829281,17070158,200086608.0
2016-03-29,601928,7.6562975,7.67627045,7.3899915,7.44991035,12048531,135934503.0
2016-03-30,601928,7.52980215,7.75616225,7.5098292,7.75616225,12784481,147096889.0
2016-03-31,601928,7.7628199,7.8959729,7.7095587,7.72953165,13350172,156328067.0
2016-04-01,601928,7.7095587,7.72953165,7.52980215,7.70290105,12858714,147090887.0
2016-04-05,601928,7.6696128,7.96920705,7.63632455,7.9226035,20687211,244331211.0
2016-04-06,601928,7.91594585,8.0957024,7.87599995,7.99583765,19054133,228400695.0
2016-04-07,601928,8.0158106,8.0291259,7.722874,7.7495046,15117284,178082942.0
2016-04-08,601928,7.6962434,7.70290105,7.55643275,7.66295515,10106011,115546099.0
2016-04-11,601928,7.7361893,7.94257645,7.722874,7.88931525,15933167,188255771.0
2016-04-12,601928,7.856027,7.8693423,7.6962434,7.8027658,10322987,120388517.0
2016-04-13,601928,7.82273875,8.0557565,7.8160811,7.9092882,22106941,264226355.0
2016-04-14,601928,7.98252235,8.1489636,7.94257645,8.1356483,22404838,270697632.0
2016-04-15,601928,8.1622789,8.1889095,7.94257645,8.0291259,16730420,202161331.0
2016-04-18,601928,7.9758647,7.9758647,7.8160811,7.84936935,11622754,137389151.0
2016-04-19,601928,7.88931525,7.94257645,7.82273875,7.8959729,9183925,108660067.0
2016-04-20,601928,7.9226035,7.92926115,7.323415,7.5497751,24443495,276301824.0
2016-04-21,601928,7.3899915,7.456568,7.33007265,7.34338795,17403666,193059423.0
2016-04-22,601928,7.29012675,7.3766762,7.2568385,7.37001855,8004930,88016723.0
2016-04-25,601928,7.2967844,7.323415,7.1236855,7.21023495,8918311,96389449.0
2016-04-26,601928,7.19691965,7.29012675,7.15697375,7.2834691,7756575,84179256.0
