日期,股票代码,开盘,最高,最低,收盘,成交量,成交额,异常情况,异常涨跌幅
2016-03-11,783,6.89071125,7.06239375,6.81267375,6.9453375,20333923,181533073.0,,
2016-03-14,783,7.023375,7.29650625,7.0077675,7.14043125,41087879,377845408.0,,
2016-03-15,783,7.11702,7.18725375,7.03117875,7.1014125,22156237,201786520.0,,
2016-03-16,783,7.1326275,7.20286125,7.0077675,7.0389825,24934414,226785759.0,,
2016-03-17,783,7.085805,7.273095,7.01557125,7.210665,46846295,430362640.0,,
2016-03-18,783,7.2574875,7.647675,7.20286125,7.4916,84754985,807753152.0,,
2016-03-21,783,7.73351625,8.24076,7.73351625,8.24076,205435159,2145257920.0,,
2016-03-22,783,8.147115,8.23295625,7.87398375,7.9442175,121297062,1248393968.0,,
2016-03-23,783,7.93641375,8.18613375,7.8817875,8.10809625,73881235,760082864.0,,
2016-03-24,783,7.95202125,8.084685,7.79594625,7.79594625,69135968,702442352.0,,
2016-03-25,783,7.7569275,7.95202125,7.7569275,7.88959125,43925838,442274640.0,,
2016-03-28,783,7.92080625,8.0066475,7.6632825,7.73351625,50358782,505763280.0,,
2016-03-29,783,7.74132,7.86618,7.61646,7.73351625,44172292,438707296.0,,
2016-03-30,783,7.86618,8.06127375,7.80375,8.03005875,70781161,721714016.0,,
2016-03-31,783,8.05347,8.21734875,7.9442175,8.022255,59617975,615414384.0,,
2016-04-01,783,7.96762875,8.084685,7.84276875,7.959825,38430082,392517840.0,,
2016-04-05,783,7.959825,8.17833,7.92861,8.07688125,51201160,528486928.0,,
2016-04-06,783,8.0378625,8.1315075,7.96762875,8.06127375,38209651,394722080.0,,
2016-04-07,783,8.07688125,8.1159,7.8817875,7.8817875,34929265,356107024.0,,
2016-04-08,783,7.8193575,7.85837625,7.68669375,7.7569275,37224086,370051392.0,,
2016-04-11,783,8.05347,8.15491875,7.95202125,7.959825,59277519,611782304.0,,
2016-04-12,783,7.92861,7.96762875,7.80375,7.8817875,30426243,306579344.0,,
2016-04-13,783,7.93641375,8.24076,7.92861,8.04566625,82499892,858740400.0,,
2016-04-14,783,8.1159,8.17833,7.98323625,8.0690775,37092513,382555312.0,,
2016-04-15,783,8.0690775,8.09248875,7.959825,7.99884375,27643119,283616560.0,,
2016-04-18,783,7.959825,7.959825,7.7881425,7.81155375,33083596,331694752.0,,
2016-04-19,783,7.84276875,7.87398375,7.78033875,7.84276875,22167006,222169698.0,,
2016-04-20,783,7.834965,7.85837625,7.34332875,7.585245,57450315,557313632.0,,
2016-04-21,783,7.4916,7.6320675,7.42917,7.4447775,27091743,262261655.0,,
2016-04-22,783,7.42136625,7.56183375,7.4135625,7.51501125,15839963,152184728.0,,
2016-04-25,783,7.51501125,7.522815,7.32772125,7.397955,25562453,242230944.0,,
2016-04-26,783,7.40575875,7.55403,7.40575875,7.5072075,19754982,189377059.0,,
2016-04-27,783,7.522815,7.5696375,7.460385,7.5072075,17720402,170580264.0,,
2016-04-28,783,7.5384225,7.585245,7.4447775,7.5696375,24976587,240688039.0,,
2016-04-29,783,7.56963845,7.62630954,7.49677562,7.58583019,25943985,242755884.0,,
2016-05-03,783,7.6101178,7.79632281,7.55344671,7.7720352,38113046,363758768.0,,
2016-05-04,783,7.71536411,7.79632281,7.69917237,7.73965172,20728686,198498238.0,,
2016-05-05,783,7.72345998,7.78013107,7.70726824,7.78013107,17367087,166400342.0,,
2016-05-06,783,7.78822694,7.82061042,7.4482004,7.4482004,42080481,395489184.0,,
2016-05-09,783,7.40772105,7.43200866,7.1243656,7.15674908,32449144,290298384.0,,
2016-05-10,783,7.16484495,7.23770778,7.08388625,7.1243656,20238096,179304932.0,,
2016-05-11,783,7.18913256,7.2053243,7.05959864,7.10007799,18825756,165813301.0,,
2016-05-12,783,7.01102342,7.16484495,6.93816059,7.1243656,19245894,168116933.0,,
2016-05-13,783,7.09198212,7.2053243,7.03531103,7.07579038,15669407,137801273.0,,
2016-05-16,783,7.03531103,7.14865321,6.98673581,7.14055734,13586373,119061560.0,,
2016-05-17,783,7.14865321,7.27009126,7.10817386,7.2053243,17571454,155853867.0,,
2016-05-18,783,7.16484495,7.26199539,7.0434069,7.2053243,27048893,238642865.0,,
2016-05-19,783,7.17294082,7.25389952,7.14865321,7.17294082,16691733,148595672.0,,
2016-05-20,783,7.13246147,7.24580365,7.09198212,7.22961191,15244371,135216964.0,,
2016-05-23,783,7.26199539,7.38343344,7.23770778,7.31866648,22593256,204265464.0,,
2016-05-24,783,7.30247474,7.30247474,7.18913256,7.2053243,11643779,104158705.0,,
2016-05-25,783,7.286283,7.43200866,7.26199539,7.286283,23600436,214040036.0,,
2016-05-26,783,7.31866648,7.50487149,7.286283,7.49677562,45967661,420614192.0,,
2016-05-27,783,7.4482004,7.52106323,7.38343344,7.39962518,23916914,219936730.0,,
2016-05-30,783,7.39152931,7.63440541,7.31057061,7.53725497,37426689,346782880.0,,
2016-05-31,783,7.52106323,8.22540392,7.52106323,8.15254109,107462737,1070283536.0,,
2016-06-01,783,8.1768287,8.48447176,8.16873283,8.18492457,118795540,1225922080.0,,
2016-06-02,783,8.18492457,8.40351306,8.12015761,8.35493784,61777303,635606480.0,,
2016-06-03,783,8.37922545,8.54114285,8.15254109,8.37922545,81001340,834178960.0,,
2016-06-06,783,8.36303371,8.41160893,8.24969153,8.26588327,32799928,336280960.0,,
2016-06-07,783,8.29826675,8.40351306,8.2577874,8.31445849,39475229,406111952.0,,
2016-06-08,783,8.33065023,8.3387461,8.18492457,8.20111631,40115051,408021920.0,,
2016-06-13,783,8.09587,8.12825348,7.81251455,7.81251455,41777305,413378480.0,,
2016-06-14,783,7.7720352,8.07967826,7.75584346,8.05539065,40401494,398269648.0,,
2016-06-15,783,7.8529939,8.49256763,7.8529939,8.38732132,75570881,775261504.0,,
2016-06-16,783,8.33065023,8.36303371,8.11206174,8.16063696,45277536,460044288.0,,
2016-06-17,783,8.19302044,8.55733459,8.19302044,8.37112958,56950763,591615312.0,,
2016-06-20,783,8.37112958,8.5006635,8.29017088,8.37112958,36520287,378573280.0,,
2016-06-21,783,8.54114285,9.20500419,8.5006635,8.8244983,217636415,2429802848.0,,
2016-06-22,783,8.69496438,9.14023723,8.57352633,9.08356614,157896093,1729726384.0,,
2016-06-23,783,8.9864157,9.08356614,8.7435396,8.99451157,79203709,873844960.0,,
2016-06-24,783,8.905457,9.10785375,8.5006635,8.84878591,105474143,1162122064.0,,
