日期,股票代码,开盘,最高,最低,收盘,成交量,成交额,异常情况,异常涨跌幅
2016-03-11,2074,25.8213,26.617104,25.423398,26.15994,6176488,191399014.0,,
2016-03-14,2074,26.71023,28.183314,26.71023,28.056324,13339088,436301936.0,,
2016-03-15,2074,28.047858,29.766456,27.836208,28.835196,20750052,712848736.0,,
2016-03-16,2074,28.962186,29.791854,28.02246,29.148438,17881780,610913456.0,,
2016-03-17,2074,29.2077,31.57818,29.2077,31.36653,23307442,844981904.0,,
2016-03-18,2074,31.57818,32.162334,30.909366,31.23954,26121196,969202656.0,,
2016-03-21,2074,31.307268,32.280858,30.9009,31.815228,19931063,741573824.0,,
2016-03-22,2074,31.3242,32.55177,31.104084,31.290336,13957862,521888016.0,,
2016-03-23,2074,30.98556,30.98556,29.88498,30.613056,17017629,609812832.0,,
2016-03-24,2074,30.09663,31.569714,29.952708,30.30828,17406237,631623760.0,,
2016-03-25,2074,30.0543,30.697716,29.774922,30.22362,8561748,304927712.0,,
2016-03-28,2074,30.81624,31.476588,30.494532,30.56226,15388527,564369760.0,,
2016-03-29,2074,30.22362,30.629988,28.962186,29.470146,12085579,424320512.0,,
2016-03-30,2074,29.88498,31.83216,29.88498,31.70517,16975424,618805360.0,,
2016-03-31,2074,33.27138,33.347574,31.044822,31.095618,23394459,885706192.0,,
2016-04-01,2074,30.9009,30.968628,29.84265,30.494532,14723915,527046288.0,,
2016-04-05,2074,30.951696,32.162334,30.77391,31.857558,16275509,605359488.0,,
2016-04-06,2074,31.53585,31.70517,31.104084,31.459656,14917542,552892864.0,,
2016-04-07,2074,31.510452,34.346562,31.510452,32.46711,35268997,1366586048.0,,
2016-04-08,2074,32.38245,33.542292,31.586646,32.560236,25808240,995223360.0,,
2016-04-11,2074,33.008934,33.347574,32.29779,32.670294,18926278,732606768.0,,
2016-04-12,2074,32.568702,32.568702,30.77391,31.358064,19188381,712266816.0,,
2016-04-13,2074,31.518918,31.91682,31.256472,31.3242,18477302,687969648.0,,
2016-04-14,2074,31.349598,31.569714,31.07022,31.49352,12377798,458072976.0,,
2016-04-15,2074,31.501986,31.501986,30.850104,31.188744,11495228,421832560.0,,
2016-04-18,2074,30.883968,31.552782,30.60459,31.349598,14884855,547668784.0,,
2016-04-19,2074,31.57818,31.62051,30.596124,30.841638,14878755,544244992.0,,
2016-04-20,2074,30.9009,31.061754,27.81081,28.564284,23299917,810319408.0,,
2016-04-21,2074,28.564284,28.640478,27.34518,27.34518,14445443,478904080.0,,
2016-04-22,2074,27.336714,28.428828,27.13353,28.428828,11611590,382469712.0,,
2016-04-25,2074,28.344168,28.344168,26.955744,27.717684,9323094,304119872.0,,
2016-04-26,2074,27.666888,28.454226,27.412908,28.420362,9130574,302754160.0,,
2016-04-27,2074,28.750536,30.045834,28.57275,29.12304,20213411,701499696.0,,
2016-04-28,2074,28.852128,29.614068,27.9378,29.317758,14893283,505661728.0,,
2016-04-29,2074,28.86906,30.0543,28.809798,29.622534,15403729,539459200.0,,
2016-05-03,2074,29.2077,30.680784,28.86906,30.43527,20341938,724431920.0,,
2016-05-04,2074,30.13896,30.469134,29.631,29.71566,17319956,612883616.0,,
2016-05-05,2074,29.436282,30.113562,29.317758,30.079698,13693996,481272592.0,,
2016-05-06,2074,29.92731,30.028902,28.217178,28.27644,17046090,588579216.0,,
2016-05-09,2074,27.920868,28.10712,27.17586,27.463704,11302984,367335520.0,,
2016-05-10,2074,27.55683,27.793878,27.074268,27.285918,6623347,214473902.0,,
2016-05-11,2074,27.658422,27.709218,26.2446,26.295396,8891808,283349104.0,,
2016-05-12,2074,25.389534,27.167394,24.652992,26.735628,14546413,445214400.0,,
2016-05-13,2074,26.15994,27.9378,25.982154,27.294384,16031430,516313600.0,,
2016-05-16,2074,27.243588,30.020436,26.854152,30.020436,25131401,863567520.0,,
2016-05-17,2074,31.163346,31.87449,30.325212,30.443736,46911029,1721148384.0,,
2016-05-18,2074,29.71566,29.80032,27.395976,27.819276,37001975,1244674832.0,,
2016-05-19,2074,27.64149,28.682808,27.522966,27.819276,20557834,685129664.0,,
2016-05-20,2074,27.404442,27.76848,26.253066,27.362112,22221579,712005936.0,,
2016-05-23,2074,27.497568,28.74207,27.404442,28.733604,23773952,789466640.0,,
2016-05-24,2074,28.555818,28.555818,27.5145,27.734616,19487874,643881184.0,,
2016-05-25,2074,28.039392,28.217178,27.0912,27.497568,16214040,531463536.0,,
2016-05-26,2074,27.285918,27.285918,26.143008,27.17586,20354084,640557584.0,,
2016-05-27,2074,26.83722,26.83722,26.396988,26.557842,16210528,510369472.0,,
2016-05-30,2074,26.2446,26.972676,25.846698,26.346192,12756573,399759280.0,,
2016-05-31,2074,26.346192,27.81081,26.2446,27.68382,27093436,872006736.0,,
2016-06-01,2074,27.497568,29.055312,27.463704,28.386498,34676337,1166443776.0,,
2016-06-02,2074,28.420362,28.750536,27.98013,28.411896,23551710,788767552.0,,
2016-06-03,2074,28.454226,29.444748,28.454226,28.818264,27954706,956028736.0,,
2016-06-06,2074,28.919856,29.520942,28.674342,29.089176,23407207,803803968.0,,
2016-06-07,2074,29.12304,31.781364,29.021448,30.68925,44714614,1625064768.0,,
2016-06-08,2074,31.095618,33.178254,30.994026,32.38245,62038244,2335996912.0,,
2016-06-13,2074,31.882956,34.16031,31.49352,31.70517,60357421,2353811952.0,,
2016-06-14,2074,31.976082,32.958138,31.425792,32.12847,38090445,1450728576.0,,
2016-06-15,2074,32.069208,35.34555,32.069208,35.34555,46136107,1888696640.0,,
2016-06-16,2074,36.7899749,37.62263484,35.53248846,35.77888783,69046860,2980335616.0,,
2016-06-17,2074,36.0252872,36.7050096,34.58937363,35.2605995,46091676,1930622352.0,,
2016-06-20,2074,35.47301275,36.37364493,34.98871054,36.07626638,38504720,1615612912.0,,
2016-06-21,2074,36.32266575,36.9599055,34.1560506,34.54689098,39451084,1644786576.0,,
2016-06-22,2074,34.54689098,35.32857174,34.01160959,35.32857174,24118756,982971760.0,,
2016-06-23,2074,35.0057036,36.33116228,34.09657489,35.41353704,26821577,1113537744.0,,
2016-06-24,2074,35.12465502,35.93182537,33.8161894,34.91224177,35008552,1439078400.0,,
2016-06-27,2074,34.835773,35.685426,34.58937363,35.62595029,25969167,1075974112.0,,
2016-06-28,2074,35.685426,36.09325944,34.43643609,34.68283546,26151799,1076438592.0,,
2016-06-29,2074,34.835773,35.64294335,34.2410159,34.59787016,32596989,1338204784.0,,
