日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,异常情况,异常涨跌幅
2016-03-11,600005,武钢股份,2.89,2.92,2.95,2.87,239531,69652623.0,2.73,-0.34,-0.01,0.24,,
2016-03-14,600005,武钢股份,2.94,2.98,3.01,2.94,382322,113981904.0,2.4,2.05,0.06,0.38,,
2016-03-15,600005,武钢股份,2.97,2.94,2.98,2.91,296012,86883144.0,2.35,-1.34,-0.04,0.29,,
2016-03-16,600005,武钢股份,2.92,2.92,2.95,2.91,226665,66317228.0,1.36,-0.68,-0.02,0.22,,
2016-03-17,600005,武钢股份,2.93,2.95,2.97,2.9,403477,118505500.0,2.4,1.03,0.03,0.4,,
2016-03-18,600005,武钢股份,2.96,3.01,3.04,2.94,945312,283083104.0,3.39,2.03,0.06,0.94,,
2016-03-21,600005,武钢股份,3.03,3.09,3.1,3.0,920985,280653024.0,3.32,2.66,0.08,0.91,,
2016-03-22,600005,武钢股份,3.06,3.04,3.07,3.02,518608,157968375.0,1.62,-1.62,-0.05,0.51,,
2016-03-23,600005,武钢股份,3.04,3.05,3.07,3.0,423127,128297923.0,2.3,0.33,0.01,0.42,,
2016-03-24,600005,武钢股份,3.01,2.96,3.02,2.95,508813,151361582.0,2.3,-2.95,-0.09,0.5,,
2016-03-25,600005,武钢股份,2.94,2.95,2.97,2.92,374491,110008836.0,1.69,-0.34,-0.01,0.37,,
2016-03-28,600005,武钢股份,2.96,2.92,2.99,2.91,335385,98880920.0,2.71,-1.02,-0.03,0.33,,
2016-03-29,600005,武钢股份,2.91,2.86,2.93,2.83,483763,138725311.0,3.42,-2.05,-0.06,0.48,,
2016-03-30,600005,武钢股份,2.88,2.92,2.92,2.86,512266,148139851.0,2.1,2.1,0.06,0.51,,
2016-03-31,600005,武钢股份,2.91,2.91,2.92,2.87,416888,120849151.0,1.71,-0.34,-0.01,0.41,,
2016-04-01,600005,武钢股份,2.89,3.02,3.08,2.87,1334552,397862864.0,7.22,3.78,0.11,1.32,,
2016-04-05,600005,武钢股份,2.99,3.03,3.06,2.95,982764,295779056.0,3.64,0.33,0.01,0.97,,
2016-04-06,600005,武钢股份,3.01,3.07,3.11,3.0,1055763,323556144.0,3.63,1.32,0.04,1.05,,
2016-04-07,600005,武钢股份,3.07,3.08,3.18,3.06,1335359,415938528.0,3.91,0.33,0.01,1.32,,
2016-04-08,600005,武钢股份,3.05,3.17,3.22,3.03,1831534,578850880.0,6.17,2.92,0.09,1.81,,
2016-04-11,600005,武钢股份,3.25,3.49,3.49,3.25,1666497,574511552.0,7.57,10.09,0.32,1.65,价格异常,10.094637223974768
2016-04-12,600005,武钢股份,3.53,3.58,3.8,3.44,3544689,1271217616.0,10.32,2.58,0.09,3.51,,
2016-04-13,600005,武钢股份,3.61,3.64,3.78,3.58,3092824,1139159888.0,5.59,1.68,0.06,3.06,,
2016-04-14,600005,武钢股份,3.63,3.61,3.65,3.51,1295263,463240384.0,3.85,-0.82,-0.03,1.28,,
2016-04-15,600005,武钢股份,3.57,3.55,3.57,3.47,1153180,405418832.0,2.77,-1.66,-0.06,1.14,,
2016-04-18,600005,武钢股份,3.55,3.61,3.64,3.49,1523133,544524480.0,4.23,1.69,0.06,1.51,,
2016-04-19,600005,武钢股份,3.6,3.6,3.62,3.48,1110666,393552032.0,3.88,-0.28,-0.01,1.1,,
2016-04-20,600005,武钢股份,3.7,3.47,3.75,3.36,1383726,490799520.0,10.83,-3.61,-0.13,1.37,,
2016-04-21,600005,武钢股份,3.48,3.51,3.62,3.47,1581946,561592640.0,4.32,1.15,0.04,1.57,,
2016-04-22,600005,武钢股份,3.4,3.43,3.45,3.31,1084746,367151232.0,3.99,-2.28,-0.08,1.07,,
2016-04-25,600005,武钢股份,3.39,3.46,3.56,3.34,734306,254535798.0,6.41,0.87,0.03,0.73,,
2016-04-26,600005,武钢股份,3.44,3.43,3.49,3.38,498495,170354635.0,3.18,-0.87,-0.03,0.49,,
2016-04-27,600005,武钢股份,3.44,3.39,3.44,3.35,397759,134964224.0,2.62,-1.17,-0.04,0.39,,
2016-04-28,600005,武钢股份,3.38,3.32,3.38,3.24,638237,210764779.0,4.13,-2.06,-0.07,0.63,,
2016-04-29,600005,武钢股份,3.3,3.31,3.38,3.27,387508,128537890.0,3.31,-0.3,-0.01,0.38,,
2016-05-03,600005,武钢股份,3.31,3.35,3.37,3.27,588538,196003304.0,3.02,1.21,0.04,0.58,,
2016-05-04,600005,武钢股份,3.31,3.28,3.33,3.25,902981,295796672.0,2.39,-2.09,-0.07,0.89,,
2016-05-05,600005,武钢股份,3.26,3.25,3.27,3.19,696615,224566643.0,2.44,-0.91,-0.03,0.69,,
2016-05-06,600005,武钢股份,3.24,3.1,3.24,3.09,799808,252485652.0,4.62,-4.62,-0.15,0.79,,
2016-05-09,600005,武钢股份,3.05,2.89,3.07,2.86,968447,284942304.0,6.77,-6.77,-0.21,0.96,,
2016-05-10,600005,武钢股份,2.88,2.9,2.91,2.84,687190,197622467.0,2.42,0.35,0.01,0.68,,
2016-05-11,600005,武钢股份,2.91,2.89,2.94,2.86,455807,131727420.0,2.76,-0.34,-0.01,0.45,,
2016-05-12,600005,武钢股份,2.86,2.93,2.99,2.81,579252,167641186.0,6.23,1.38,0.04,0.57,,
2016-05-13,600005,武钢股份,2.91,2.93,2.98,2.89,632636,185927803.0,3.07,0.0,0.0,0.63,,
2016-05-16,600005,武钢股份,2.93,2.91,2.93,2.86,428944,123847057.0,2.39,-0.68,-0.02,0.42,,
2016-05-17,600005,武钢股份,2.9,2.94,3.01,2.9,730156,216345303.0,3.78,1.03,0.03,0.72,,
2016-05-18,600005,武钢股份,2.9,2.85,2.91,2.81,438117,125307208.0,3.4,-3.06,-0.09,0.43,,
2016-05-19,600005,武钢股份,2.85,2.87,2.92,2.84,464781,133665260.0,2.81,0.7,0.02,0.46,,
2016-05-20,600005,武钢股份,2.84,2.86,2.87,2.81,309329,87844181.0,2.09,-0.35,-0.01,0.31,,
2016-05-23,600005,武钢股份,2.9,2.89,2.91,2.86,456088,131613154.0,1.75,1.05,0.03,0.45,,
2016-05-24,600005,武钢股份,2.89,2.86,2.9,2.83,356030,101408845.0,2.42,-1.04,-0.03,0.35,,
2016-05-25,600005,武钢股份,2.88,2.86,2.9,2.84,326297,93626347.0,2.1,0.0,0.0,0.32,,
2016-05-26,600005,武钢股份,2.87,2.86,2.88,2.82,389688,111047435.0,2.1,0.0,0.0,0.39,,
2016-05-27,600005,武钢股份,2.86,2.88,2.94,2.82,679637,194863810.0,4.2,0.7,0.02,0.67,,
2016-05-30,600005,武钢股份,2.85,2.84,2.86,2.82,460271,130706754.0,1.39,-1.39,-0.04,0.46,,
2016-05-31,600005,武钢股份,2.85,2.93,2.93,2.84,744121,215643999.0,3.17,3.17,0.09,0.74,,
2016-06-01,600005,武钢股份,2.91,2.92,2.95,2.9,544985,159152060.0,1.71,-0.34,-0.01,0.54,,
2016-06-02,600005,武钢股份,2.91,2.93,2.93,2.9,397923,116114552.0,1.03,0.34,0.01,0.39,,
2016-06-03,600005,武钢股份,2.93,2.92,2.93,2.88,452655,131706079.0,1.71,-0.34,-0.01,0.45,,
2016-06-06,600005,武钢股份,2.91,2.93,2.94,2.9,439349,128064792.0,1.37,0.34,0.01,0.44,,
2016-06-07,600005,武钢股份,2.92,2.9,2.93,2.89,309147,89710022.0,1.37,-1.02,-0.03,0.31,,
2016-06-08,600005,武钢股份,2.9,2.89,2.91,2.86,321870,92973638.0,1.72,-0.34,-0.01,0.32,,
2016-06-13,600005,武钢股份,2.86,2.81,2.87,2.8,404586,115054650.0,2.42,-2.77,-0.08,0.4,,
2016-06-14,600005,武钢股份,2.8,2.79,2.82,2.78,307577,86017084.0,1.42,-0.71,-0.02,0.3,,
2016-06-15,600005,武钢股份,2.77,2.83,2.83,2.76,429638,120519807.0,2.51,1.43,0.04,0.43,,
2016-06-16,600005,武钢股份,2.81,2.81,2.85,2.8,343740,96803371.0,1.77,-0.71,-0.02,0.34,,
2016-06-17,600005,武钢股份,2.81,2.84,2.88,2.8,389188,110564458.0,2.85,1.07,0.03,0.39,,
2016-06-20,600005,武钢股份,2.82,2.82,2.83,2.8,244341,68746786.0,1.06,-0.7,-0.02,0.24,,
2016-06-21,600005,武钢股份,2.83,2.79,2.84,2.77,330413,92718609.0,2.48,-1.06,-0.03,0.33,,
2016-06-22,600005,武钢股份,2.79,2.82,2.82,2.77,281645,79014524.0,1.79,1.08,0.03,0.28,,
2016-06-23,600005,武钢股份,2.81,2.81,2.82,2.79,272802,76512447.0,1.06,-0.35,-0.01,0.27,,
2016-06-24,600005,武钢股份,2.8,2.76,2.81,2.73,467892,129558061.0,2.85,-1.78,-0.05,0.46,,
2016-10-10,600005,武钢股份,3.04,3.04,3.04,3.04,38846,11809172.0,0.0,10.14,0.28,0.04,价格异常,10.144927536231885
2016-10-11,600005,武钢股份,3.34,3.34,3.34,3.15,3523774,1156838880.0,6.25,9.87,0.3,3.49,,
2016-10-12,600005,武钢股份,3.3,3.24,3.3,3.21,1571488,511857040.0,2.69,-2.99,-0.1,1.56,,
2016-10-13,600005,武钢股份,3.22,3.24,3.26,3.19,895089,288706496.0,2.16,0.0,0.0,0.89,,
2016-10-14,600005,武钢股份,3.23,3.17,3.23,3.13,927822,294683472.0,3.09,-2.16,-0.07,0.92,,
2016-10-17,600005,武钢股份,3.18,3.2,3.22,3.14,745757,237453089.0,2.52,0.95,0.03,0.74,,
2016-10-18,600005,武钢股份,3.17,3.21,3.22,3.16,832914,266176208.0,1.88,0.31,0.01,0.83,,
2016-10-19,600005,武钢股份,3.21,3.19,3.27,3.18,822401,265145965.0,2.8,-0.62,-0.02,0.81,,
2016-10-20,600005,武钢股份,3.18,3.16,3.19,3.13,588976,185896019.0,1.88,-0.94,-0.03,0.58,,
2016-10-21,600005,武钢股份,3.15,3.13,3.16,3.11,566222,177482340.0,1.58,-0.95,-0.03,0.56,,
2016-10-24,600005,武钢股份,3.12,3.16,3.18,3.11,855369,269940592.0,2.24,0.96,0.03,0.85,,
2016-10-25,600005,武钢股份,3.19,3.18,3.23,3.17,986365,315539520.0,1.9,0.63,0.02,0.98,,
2016-10-26,600005,武钢股份,3.18,3.2,3.2,3.14,750937,237533168.0,1.89,0.63,0.02,0.74,,
2016-10-27,600005,武钢股份,3.18,3.17,3.19,3.15,352947,111762239.0,1.25,-0.94,-0.03,0.35,,
2016-10-28,600005,武钢股份,3.17,3.15,3.18,3.14,389428,122895271.0,1.26,-0.63,-0.02,0.39,,
2016-10-31,600005,武钢股份,3.16,3.13,3.16,3.12,474542,148635973.0,1.27,-0.63,-0.02,0.47,,
2016-11-01,600005,武钢股份,3.13,3.14,3.14,3.12,412049,128852498.0,0.64,0.32,0.01,0.41,,
2016-11-02,600005,武钢股份,3.13,3.08,3.13,3.07,538161,166717423.0,1.91,-1.91,-0.06,0.53,,
2016-11-03,600005,武钢股份,3.07,3.09,3.11,3.05,481031,148331969.0,1.95,0.32,0.01,0.48,,
2016-11-04,600005,武钢股份,3.08,3.09,3.11,3.07,371011,114729446.0,1.29,0.0,0.0,0.37,,
2016-11-07,600005,武钢股份,3.09,3.14,3.15,3.08,619782,193611881.0,2.27,1.62,0.05,0.61,,
2016-11-08,600005,武钢股份,3.15,3.13,3.17,3.12,501330,157506512.0,1.59,-0.32,-0.01,0.5,,
2016-11-09,600005,武钢股份,3.13,3.1,3.14,3.08,453448,140754370.0,1.92,-0.96,-0.03,0.45,,
2016-11-10,600005,武钢股份,3.12,3.14,3.15,3.11,582517,182749487.0,1.29,1.29,0.04,0.58,,
2016-11-11,600005,武钢股份,3.14,3.23,3.24,3.13,1543509,491965600.0,3.5,2.87,0.09,1.53,,
2016-11-14,600005,武钢股份,3.2,3.3,3.37,3.19,1899240,622419760.0,5.57,2.17,0.07,1.88,,
2016-11-15,600005,武钢股份,3.3,3.24,3.3,3.22,818015,265864146.0,2.42,-1.82,-0.06,0.81,,
2016-11-16,600005,武钢股份,3.23,3.24,3.24,3.2,480898,154752809.0,1.23,0.0,0.0,0.48,,
2016-11-17,600005,武钢股份,3.22,3.22,3.23,3.19,380968,122129979.0,1.23,-0.62,-0.02,0.38,,
2016-11-18,600005,武钢股份,3.22,3.23,3.29,3.2,672263,218197835.0,2.8,0.31,0.01,0.67,,
2016-11-21,600005,武钢股份,3.23,3.24,3.26,3.21,508423,164632192.0,1.55,0.31,0.01,0.5,,
2016-11-22,600005,武钢股份,3.24,3.29,3.32,3.23,916070,301272928.0,2.78,1.54,0.05,0.91,,
2016-11-23,600005,武钢股份,3.3,3.28,3.33,3.27,720260,237774115.0,1.82,-0.3,-0.01,0.71,,
2016-11-24,600005,武钢股份,3.28,3.32,3.33,3.27,687507,227566856.0,1.83,1.22,0.04,0.68,,
2016-11-25,600005,武钢股份,3.33,3.43,3.44,3.28,1321228,443353088.0,4.82,3.31,0.11,1.31,,
2016-11-28,600005,武钢股份,3.43,3.45,3.5,3.41,1168027,403032112.0,2.62,0.58,0.02,1.16,,
2016-11-29,600005,武钢股份,3.45,3.48,3.66,3.43,1845511,657088048.0,6.67,0.87,0.03,1.83,,
2016-11-30,600005,武钢股份,3.49,3.42,3.5,3.39,836501,287812512.0,3.16,-1.72,-0.06,0.83,,
2016-12-08,600005,武钢股份,3.68,3.56,3.75,3.53,2102854,763696064.0,6.43,4.09,0.14,2.08,,
2016-12-09,600005,武钢股份,3.54,3.68,3.76,3.47,2084321,753206848.0,8.15,3.37,0.12,2.06,,
2016-12-12,600005,武钢股份,3.69,3.67,3.89,3.66,1918800,722456448.0,6.25,-0.27,-0.01,1.9,,
2016-12-13,600005,武钢股份,3.61,3.79,3.81,3.59,1568849,587455456.0,5.99,3.27,0.12,1.55,,
2016-12-14,600005,武钢股份,3.76,3.62,3.78,3.59,1240856,459382416.0,5.01,-4.49,-0.17,1.23,,
2016-12-15,600005,武钢股份,3.57,3.58,3.63,3.5,844159,299985568.0,3.59,-1.1,-0.04,0.84,,
2016-12-16,600005,武钢股份,3.55,3.51,3.57,3.5,493252,173943378.0,1.96,-1.96,-0.07,0.49,,
2016-12-19,600005,武钢股份,3.49,3.49,3.56,3.46,505286,177518554.0,2.85,-0.57,-0.02,0.5,,
2016-12-20,600005,武钢股份,3.49,3.37,3.5,3.34,652314,221310369.0,4.58,-3.44,-0.12,0.65,,
2016-12-21,600005,武钢股份,3.38,3.42,3.46,3.37,357393,121970792.0,2.67,1.48,0.05,0.35,,
2016-12-22,600005,武钢股份,3.41,3.4,3.44,3.38,354700,120879873.0,1.75,-0.58,-0.02,0.35,,
2016-12-23,600005,武钢股份,3.4,3.44,3.47,3.37,433586,148031272.0,2.94,1.18,0.04,0.43,,
2016-12-26,600005,武钢股份,3.41,3.39,3.43,3.33,355786,119863219.0,2.91,-1.45,-0.05,0.35,,
2016-12-27,600005,武钢股份,3.39,3.39,3.4,3.37,217845,73815399.0,0.88,0.0,0.0,0.22,,
2016-12-28,600005,武钢股份,3.39,3.4,3.44,3.39,224821,76674001.0,1.47,0.29,0.01,0.22,,
2016-12-29,600005,武钢股份,3.39,3.39,3.41,3.35,245152,82983018.0,1.76,-0.29,-0.01,0.24,,
2016-12-30,600005,武钢股份,3.4,3.41,3.46,3.39,348218,119119635.0,2.06,0.59,0.02,0.34,,
2017-01-03,600005,武钢股份,3.41,3.42,3.43,3.37,235761,80286059.0,1.76,0.29,0.01,0.23,,
2017-01-04,600005,武钢股份,3.42,3.46,3.46,3.38,384834,132203638.0,2.34,1.17,0.04,0.38,,
2017-01-05,600005,武钢股份,3.45,3.48,3.5,3.44,342817,119296209.0,1.73,0.58,0.02,0.34,,
2017-01-06,600005,武钢股份,3.48,3.53,3.57,3.47,620095,219306235.0,2.87,1.44,0.05,0.61,,
2017-01-09,600005,武钢股份,3.52,3.56,3.59,3.51,314426,111734232.0,2.27,0.85,0.03,0.31,,
2017-01-10,600005,武钢股份,3.56,3.63,3.65,3.55,799174,288575008.0,2.81,1.97,0.07,0.79,,
2017-01-11,600005,武钢股份,3.65,3.6,3.76,3.6,1082526,399078112.0,4.41,-0.83,-0.03,1.07,,
2017-01-12,600005,武钢股份,3.59,3.53,3.66,3.53,599773,215136325.0,3.61,-1.94,-0.07,0.59,,
2017-01-13,600005,武钢股份,3.52,3.57,3.62,3.49,513440,182822176.0,3.68,1.13,0.04,0.51,,
2017-01-16,600005,武钢股份,3.68,3.66,3.71,3.58,1325228,482398320.0,3.64,2.52,0.09,1.31,,
2017-01-17,600005,武钢股份,3.67,3.65,3.67,3.6,584988,213115416.0,1.91,-0.27,-0.01,0.58,,
2017-01-18,600005,武钢股份,3.67,3.8,3.8,3.65,1012254,379449424.0,4.11,4.11,0.15,1.0,,
2017-01-19,600005,武钢股份,3.8,3.75,3.85,3.73,919963,348659088.0,3.16,-1.32,-0.05,0.91,,
2017-01-20,600005,武钢股份,3.74,3.74,3.77,3.72,603146,225501455.0,1.33,-0.27,-0.01,0.6,,
2017-01-23,600005,武钢股份,3.72,3.71,3.76,3.69,782216,291606368.0,1.87,-0.8,-0.03,0.77,,
