日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,异常情况,异常涨跌幅
2016-03-11,600023,浙能电力,3.43,3.47,3.49,3.38,133007,70459498.0,3.18,0.29,0.01,0.45,,
2016-03-14,600023,浙能电力,3.49,3.59,3.66,3.49,270245,147608931.0,4.9,3.46,0.12,0.9,,
2016-03-15,600023,浙能电力,3.59,3.58,3.62,3.5,194088,105303786.0,3.34,-0.28,-0.01,0.65,,
2016-03-16,600023,浙能电力,3.58,3.62,3.68,3.56,397641,218132630.0,3.35,1.12,0.04,1.33,,
2016-03-17,600023,浙能电力,3.65,3.67,3.71,3.58,356558,196779588.0,3.59,1.38,0.05,1.19,,
2016-03-18,600023,浙能电力,3.72,3.75,3.8,3.67,1046752,587085312.0,3.54,2.18,0.08,3.5,,
2016-03-21,600023,浙能电力,3.78,3.84,3.86,3.75,767098,435012336.0,2.93,2.4,0.09,2.57,,
2016-03-22,600023,浙能电力,3.82,3.78,3.84,3.76,495012,280210880.0,2.08,-1.56,-0.06,1.66,,
2016-03-23,600023,浙能电力,3.77,3.79,3.8,3.73,340315,191431504.0,1.85,0.26,0.01,1.14,,
2016-03-24,600023,浙能电力,3.74,3.67,3.82,3.66,485666,272329024.0,4.22,-3.17,-0.12,1.63,,
2016-03-25,600023,浙能电力,3.65,3.7,3.72,3.64,301854,167105455.0,2.18,0.82,0.03,1.01,,
2016-03-28,600023,浙能电力,3.71,3.65,3.75,3.63,312478,173771544.0,3.24,-1.35,-0.05,1.05,,
2016-03-29,600023,浙能电力,3.66,3.53,3.67,3.51,284480,154773970.0,4.38,-3.29,-0.12,0.95,,
2016-03-30,600023,浙能电力,3.57,3.66,3.66,3.56,340835,186834349.0,2.83,3.68,0.13,1.14,,
2016-03-31,600023,浙能电力,3.69,3.72,3.75,3.65,441900,245668847.0,2.73,1.64,0.06,1.48,,
2016-04-01,600023,浙能电力,3.71,3.71,3.73,3.59,335837,185532951.0,3.76,-0.27,-0.01,1.12,,
2016-04-05,600023,浙能电力,3.71,3.81,3.82,3.66,673403,378563632.0,4.31,2.7,0.1,2.25,,
