日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,异常情况,异常涨跌幅
2016-03-11,600068,葛洲坝,4.53,4.54,4.6,4.47,165848,92761033.0,2.87,0.22,0.01,0.4,,
2016-03-14,600068,葛洲坝,4.58,4.65,4.76,4.58,479671,275463872.0,3.96,2.42,0.11,1.16,,
2016-03-15,600068,葛洲坝,4.64,4.69,4.7,4.53,384172,218234514.0,3.66,0.86,0.04,0.93,,
2016-03-16,600068,葛洲坝,4.65,4.7,4.75,4.63,504391,291050784.0,2.56,0.21,0.01,1.22,,
2016-03-17,600068,葛洲坝,4.7,4.77,4.82,4.65,454387,263368526.0,3.62,1.49,0.07,1.1,,
2016-03-18,600068,葛洲坝,4.78,4.82,4.88,4.75,788186,463544000.0,2.73,1.05,0.05,1.9,,
2016-03-21,600068,葛洲坝,4.89,4.99,5.13,4.82,840437,506623600.0,6.43,3.53,0.17,2.03,,
2016-03-22,600068,葛洲坝,4.96,4.93,5.01,4.88,379385,227987224.0,2.61,-1.2,-0.06,0.91,,
2016-03-23,600068,葛洲坝,4.89,4.93,4.94,4.87,286753,171167145.0,1.42,0.0,0.0,0.69,,
2016-03-24,600068,葛洲坝,4.9,4.77,4.9,4.76,319313,188461058.0,2.84,-3.25,-0.16,0.77,,
2016-03-25,600068,葛洲坝,4.78,4.82,4.82,4.76,202858,118777032.0,1.26,1.05,0.05,0.49,,
2016-03-28,600068,葛洲坝,4.88,4.82,4.92,4.8,257185,152573296.0,2.49,0.0,0.0,0.62,,
2016-03-29,600068,葛洲坝,4.81,4.73,4.83,4.71,286183,166445044.0,2.49,-1.87,-0.09,0.69,,
2016-03-30,600068,葛洲坝,4.81,4.88,4.88,4.79,306902,181004498.0,1.9,3.17,0.15,0.74,,
2016-03-31,600068,葛洲坝,4.91,4.96,5.02,4.86,474590,286073648.0,3.28,1.64,0.08,1.14,,
2016-04-01,600068,葛洲坝,4.96,4.97,4.99,4.83,372456,222513338.0,3.23,0.2,0.01,0.9,,
2016-04-05,600068,葛洲坝,4.97,5.16,5.27,4.95,811995,504497968.0,6.44,3.82,0.19,1.96,,
2016-04-06,600068,葛洲坝,5.13,5.22,5.29,5.11,491257,307918000.0,3.49,1.16,0.06,1.18,,
2016-04-07,600068,葛洲坝,5.22,5.03,5.24,5.02,415916,256628907.0,4.21,-3.64,-0.19,1.0,,
2016-04-08,600068,葛洲坝,5.04,5.0,5.06,4.94,274288,166243755.0,2.39,-0.6,-0.03,0.66,,
2016-04-11,600068,葛洲坝,5.03,5.18,5.2,5.03,360949,224170602.0,3.4,3.6,0.18,0.87,,
2016-04-12,600068,葛洲坝,5.18,5.12,5.18,5.05,205798,126860834.0,2.51,-1.16,-0.06,0.5,,
2016-04-13,600068,葛洲坝,5.17,5.27,5.32,5.13,662002,417502640.0,3.71,2.93,0.15,1.6,,
2016-04-14,600068,葛洲坝,5.27,5.29,5.3,5.22,253546,160133546.0,1.52,0.38,0.02,0.61,,
2016-04-15,600068,葛洲坝,5.28,5.25,5.33,5.23,280920,177839654.0,1.89,-0.76,-0.04,0.68,,
2016-04-18,600068,葛洲坝,5.23,5.11,5.24,5.07,239747,148200869.0,3.24,-2.67,-0.14,0.58,,
2016-04-19,600068,葛洲坝,5.14,5.17,5.19,5.1,206501,128286600.0,1.76,1.17,0.06,0.5,,
2016-04-20,600068,葛洲坝,5.19,4.99,5.19,4.79,472885,284165488.0,7.74,-3.48,-0.18,1.14,,
2016-04-21,600068,葛洲坝,4.94,4.88,5.0,4.87,221304,132787954.0,2.61,-2.2,-0.11,0.53,,
2016-04-22,600068,葛洲坝,4.86,4.89,4.9,4.83,141195,83625558.0,1.43,0.2,0.01,0.34,,
2016-04-25,600068,葛洲坝,4.9,4.84,4.91,4.78,136290,80237953.0,2.66,-1.02,-0.05,0.33,,
2016-04-26,600068,葛洲坝,4.84,4.86,4.9,4.81,172443,101896095.0,1.86,0.41,0.02,0.42,,
2016-04-27,600068,葛洲坝,4.87,4.88,4.95,4.85,181177,108005959.0,2.06,0.41,0.02,0.44,,
2016-04-28,600068,葛洲坝,4.85,4.85,4.9,4.76,143706,84668409.0,2.87,-0.61,-0.03,0.35,,
2016-04-29,600068,葛洲坝,4.83,4.86,4.9,4.81,124660,73808372.0,1.86,0.21,0.01,0.3,,
2016-05-03,600068,葛洲坝,4.87,5.03,5.1,4.86,390224,236877504.0,4.94,3.5,0.17,0.94,,
2016-05-04,600068,葛洲坝,5.03,5.06,5.11,5.0,249172,152464579.0,2.19,0.6,0.03,0.6,,
2016-05-05,600068,葛洲坝,5.06,5.13,5.13,5.04,275677,169860370.0,1.78,1.38,0.07,0.66,,
2016-05-06,600068,葛洲坝,5.13,4.94,5.14,4.94,253731,154447752.0,3.9,-3.7,-0.19,0.61,,
2016-05-09,600068,葛洲坝,4.94,4.84,5.0,4.81,255488,152040676.0,3.85,-2.02,-0.1,0.62,,
2016-05-10,600068,葛洲坝,4.85,4.81,4.89,4.76,240230,141321922.0,2.69,-0.62,-0.03,0.58,,
2016-05-11,600068,葛洲坝,4.84,4.98,5.03,4.78,410566,245468160.0,5.2,3.53,0.17,0.99,,
2016-05-12,600068,葛洲坝,4.92,4.96,5.01,4.84,259935,155645640.0,3.41,-0.4,-0.02,0.63,,
2016-05-13,600068,葛洲坝,4.98,5.03,5.16,4.96,456834,280189312.0,4.03,1.41,0.07,1.1,,
2016-05-16,600068,葛洲坝,4.97,5.06,5.06,4.95,220096,133676323.0,2.19,0.6,0.03,0.53,,
2016-05-17,600068,葛洲坝,5.05,4.98,5.06,4.97,201595,122272702.0,1.78,-1.58,-0.08,0.49,,
2016-05-18,600068,葛洲坝,4.92,4.89,4.94,4.79,247688,146540644.0,3.01,-1.81,-0.09,0.6,,
2016-05-19,600068,葛洲坝,4.87,4.85,4.92,4.84,132561,78721964.0,1.64,-0.82,-0.04,0.32,,
2016-05-20,600068,葛洲坝,4.8,4.85,4.85,4.79,131198,77133796.0,1.24,0.0,0.0,0.32,,
2016-05-23,600068,葛洲坝,4.84,4.84,4.88,4.79,199836,117824422.0,1.86,-0.21,-0.01,0.48,,
2016-05-24,600068,葛洲坝,4.84,4.73,4.84,4.71,234139,136289720.0,2.69,-2.27,-0.11,0.56,,
2016-05-25,600068,葛洲坝,4.75,4.67,4.8,4.67,180251,104539147.0,2.75,-1.27,-0.06,0.43,,
2016-05-26,600068,葛洲坝,4.68,4.67,4.72,4.55,170823,97113027.0,3.64,0.0,0.0,0.41,,
2016-05-27,600068,葛洲坝,4.68,4.65,4.69,4.63,107400,61431437.0,1.28,-0.43,-0.02,0.26,,
2016-05-30,600068,葛洲坝,4.65,4.66,4.72,4.58,113950,65258868.0,3.01,0.22,0.01,0.27,,
2016-05-31,600068,葛洲坝,4.65,4.84,4.85,4.64,382077,223916565.0,4.51,3.86,0.18,0.92,,
2016-06-01,600068,葛洲坝,4.83,4.86,4.94,4.81,259455,154286017.0,2.69,0.41,0.02,0.63,,
2016-06-02,600068,葛洲坝,4.88,4.85,4.89,4.81,158150,93475565.0,1.65,-0.21,-0.01,0.38,,
2016-06-03,600068,葛洲坝,4.88,4.85,4.88,4.8,179144,105782883.0,1.65,0.0,0.0,0.43,,
2016-06-06,600068,葛洲坝,4.85,4.88,4.92,4.84,158006,93825651.0,1.65,0.62,0.03,0.38,,
2016-06-07,600068,葛洲坝,4.87,4.84,4.89,4.82,128401,75829788.0,1.43,-0.82,-0.04,0.31,,
2016-06-08,600068,葛洲坝,4.82,4.85,4.87,4.81,119440,70510486.0,1.24,0.21,0.01,0.29,,
2016-06-13,600068,葛洲坝,4.81,4.65,4.81,4.64,153489,88974347.0,3.51,-4.12,-0.2,0.37,,
2016-06-14,600068,葛洲坝,4.64,4.64,4.68,4.6,104205,59329248.0,1.72,-0.22,-0.01,0.25,,
2016-06-15,600068,葛洲坝,4.6,4.77,4.8,4.58,200427,115976548.0,4.74,2.8,0.13,0.48,,
2016-06-16,600068,葛洲坝,4.75,4.67,4.75,4.64,217626,124966216.0,2.31,-2.1,-0.1,0.52,,
2016-06-17,600068,葛洲坝,4.68,4.73,4.76,4.68,230722,133285688.0,1.71,1.28,0.06,0.56,,
2016-06-20,600068,葛洲坝,4.74,4.8,4.84,4.74,175797,102862817.0,2.11,1.48,0.07,0.42,,
2016-06-21,600068,葛洲坝,4.81,4.78,4.87,4.76,196350,115484592.0,2.29,-0.42,-0.02,0.47,,
2016-06-22,600068,葛洲坝,4.83,4.84,4.86,4.79,141954,83706200.0,1.46,1.26,0.06,0.34,,
2016-06-23,600068,葛洲坝,4.84,4.82,4.86,4.79,97052,57090889.0,1.45,-0.41,-0.02,0.23,,
2016-06-24,600068,葛洲坝,4.83,4.75,4.89,4.65,170444,99578279.0,4.98,-1.45,-0.07,0.41,,
2016-06-27,600068,葛洲坝,4.73,4.82,4.82,4.71,113911,66584926.0,2.32,1.47,0.07,0.27,,
