日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,异常情况,异常涨跌幅
2016-03-11,600089,特变电工,3.83,3.84,3.87,3.75,133368,113754472.0,3.12,-0.26,-0.01,0.42,,
2016-03-14,600089,特变电工,3.88,4.03,4.04,3.87,297680,262096783.0,4.43,4.95,0.19,0.94,,
2016-03-15,600089,特变电工,4.03,4.03,4.05,3.89,290880,255233818.0,3.97,0.0,0.0,0.92,,
2016-03-16,600089,特变电工,4.01,4.03,4.06,3.99,387502,343476752.0,1.74,0.0,0.0,1.22,,
2016-03-17,600089,特变电工,4.04,4.11,4.13,4.01,299749,268002976.0,2.98,1.99,0.08,0.94,,
2016-03-18,600089,特变电工,4.15,4.21,4.25,4.13,492373,448408928.0,2.92,2.43,0.1,1.55,,
2016-03-21,600089,特变电工,4.26,4.29,4.33,4.23,510232,470874272.0,2.38,1.9,0.08,1.61,,
2016-03-22,600089,特变电工,4.26,4.25,4.32,4.23,297340,273912944.0,2.1,-0.93,-0.04,0.94,,
2016-03-23,600089,特变电工,4.25,4.3,4.31,4.2,283416,260624847.0,2.59,1.18,0.05,0.89,,
2016-03-24,600089,特变电工,4.25,4.13,4.25,4.13,338620,307534928.0,2.79,-3.95,-0.17,1.07,,
2016-03-25,600089,特变电工,4.06,4.11,4.13,4.06,240274,214898881.0,1.69,-0.48,-0.02,0.76,,
2016-03-28,600089,特变电工,4.16,4.08,4.2,4.07,234888,212205936.0,3.16,-0.73,-0.03,0.74,,
2016-03-29,600089,特变电工,4.07,4.01,4.13,3.99,254065,225998045.0,3.43,-1.72,-0.07,0.8,,
2016-03-30,600089,特变电工,4.05,4.19,4.19,4.05,275478,248198054.0,3.49,4.49,0.18,0.87,,
2016-03-31,600089,特变电工,4.24,4.2,4.25,4.19,341461,311727232.0,1.43,0.24,0.01,1.07,,
2016-04-01,600089,特变电工,4.2,4.19,4.21,4.06,267709,241638649.0,3.57,-0.24,-0.01,0.84,,
2016-04-05,600089,特变电工,4.19,4.27,4.31,4.17,450841,414747360.0,3.34,1.91,0.08,1.42,,
2016-04-06,600089,特变电工,4.25,4.29,4.36,4.22,361301,333684176.0,3.28,0.47,0.02,1.14,,
2016-04-07,600089,特变电工,4.3,4.27,4.38,4.26,485155,450784832.0,2.8,-0.47,-0.02,1.53,,
2016-04-08,600089,特变电工,4.23,4.15,4.23,4.08,316034,285485360.0,3.51,-2.81,-0.12,0.99,,
2016-04-11,600089,特变电工,4.19,4.24,4.28,4.17,288604,264994896.0,2.65,2.17,0.09,0.91,,
2016-04-12,600089,特变电工,4.24,4.18,4.25,4.13,233695,211976607.0,2.83,-1.42,-0.06,0.74,,
2016-04-13,600089,特变电工,4.21,4.29,4.34,4.2,498365,461420240.0,3.35,2.63,0.11,1.57,,
2016-04-14,600089,特变电工,4.32,4.31,4.33,4.26,302083,279476304.0,1.63,0.47,0.02,0.95,,
2016-04-15,600089,特变电工,4.32,4.31,4.35,4.28,248800,230710806.0,1.62,0.0,0.0,0.78,,
2016-04-18,600089,特变电工,4.29,4.22,4.29,4.19,240250,219975945.0,2.32,-2.09,-0.09,0.76,,
2016-04-19,600089,特变电工,4.23,4.21,4.26,4.18,184352,168080436.0,1.9,-0.24,-0.01,0.58,,
2016-04-20,600089,特变电工,4.22,4.05,4.23,3.87,428236,379698416.0,8.55,-3.8,-0.16,1.35,,
2016-04-21,600089,特变电工,4.0,3.99,4.04,3.97,190080,167662195.0,1.73,-1.48,-0.06,0.6,,
2016-04-22,600089,特变电工,3.99,3.99,4.01,3.95,113866,99904391.0,1.5,0.0,0.0,0.36,,
2016-04-25,600089,特变电工,3.97,3.95,3.99,3.89,134182,117058722.0,2.51,-1.0,-0.04,0.42,,
2016-04-26,600089,特变电工,3.94,3.98,3.99,3.93,147175,128687566.0,1.52,0.76,0.03,0.46,,
2016-04-27,600089,特变电工,3.98,3.97,4.02,3.95,154487,135710248.0,1.76,-0.25,-0.01,0.49,,
2016-04-28,600089,特变电工,3.98,3.99,4.01,3.89,174131,152161673.0,3.02,0.5,0.02,0.55,,
2016-04-29,600089,特变电工,3.95,3.94,3.97,3.93,145886,127370314.0,1.0,-1.25,-0.05,0.46,,
2016-05-03,600089,特变电工,3.97,4.09,4.09,3.92,238324,211372754.0,4.31,3.81,0.15,0.75,,
2016-05-04,600089,特变电工,4.05,4.07,4.12,4.04,200239,178756193.0,1.96,-0.49,-0.02,0.63,,
2016-05-05,600089,特变电工,4.07,4.1,4.13,4.06,161736,144872608.0,1.72,0.74,0.03,0.51,,
2016-05-06,600089,特变电工,4.1,3.91,4.14,3.9,261625,230805155.0,5.85,-4.63,-0.19,0.82,,
2016-05-09,600089,特变电工,3.89,3.75,3.89,3.73,219606,186572075.0,4.09,-4.09,-0.16,0.69,,
2016-05-10,600089,特变电工,3.78,3.76,3.79,3.73,96680,81678382.0,1.6,0.27,0.01,0.3,,
2016-05-11,600089,特变电工,3.81,3.76,3.82,3.72,124498,105310883.0,2.66,0.0,0.0,0.39,,
