日期,股票代码,股票名称,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,异常情况,异常涨跌幅
2016-03-11,600188,兖矿能源,-2.24,-1.95,-1.94,-2.29,241815,244403574.0,-15.7,12.56,0.28,0.82,,
2016-03-14,600188,兖矿能源,-1.89,-1.67,-1.48,-2.11,296362,314392992.0,-32.31,14.36,0.28,1.0,价格异常,-14.358974358974363
2016-03-15,600188,兖矿能源,-1.83,-1.92,-1.72,-1.96,128668,134698299.0,-14.37,-14.97,-0.25,0.43,价格异常,14.970059880239518
2016-03-16,600188,兖矿能源,-1.81,-1.87,-1.7,-2.06,140870,147436445.0,-18.75,2.6,0.05,0.48,,
2016-03-17,600188,兖矿能源,-1.82,-1.59,-1.47,-1.86,219476,238812866.0,-20.86,14.97,0.28,0.74,价格异常,-14.973262032085566
2016-03-18,600188,兖矿能源,-1.51,-1.58,-1.42,-1.61,237840,264932244.0,-11.95,0.63,0.01,0.8,,
2016-03-21,600188,兖矿能源,-1.52,-1.53,-1.51,-1.77,279999,307123760.0,-16.46,3.16,0.05,0.95,,
2016-03-22,600188,兖矿能源,-1.63,-1.6,-1.56,-1.75,174843,190860616.0,-12.42,-4.58,-0.07,0.59,,
2016-03-23,600188,兖矿能源,-1.6,-1.56,-1.46,-1.68,206842,229384690.0,-13.75,2.5,0.04,0.7,,
2016-03-24,600188,兖矿能源,-1.68,-1.96,-1.68,-1.99,223185,232721429.0,-19.87,-25.64,-0.4,0.75,价格异常,25.64102564102564
2016-03-25,600188,兖矿能源,-1.99,-1.91,-1.86,-2.06,112733,116099267.0,-10.2,2.55,0.05,0.38,,
2016-03-28,600188,兖矿能源,-1.91,-2.06,-1.9,-2.09,132051,135069857.0,-9.95,-7.85,-0.15,0.45,,
2016-03-29,600188,兖矿能源,-2.06,-2.11,-1.96,-2.14,143332,144838209.0,-8.74,-2.43,-0.05,0.48,,
2016-03-30,600188,兖矿能源,-2.0,-1.97,-1.96,-2.1,99919,101635018.0,-6.64,6.64,0.14,0.34,,
2016-03-31,600188,兖矿能源,-1.97,-1.79,-1.77,-2.05,250712,261436129.0,-14.21,9.14,0.18,0.85,,
2016-04-01,600188,兖矿能源,-1.83,-1.72,-1.6,-1.84,256938,277329552.0,-13.41,3.91,0.07,0.87,,
2016-04-05,600188,兖矿能源,-1.77,-1.69,-1.55,-1.8,193392,209867317.0,-14.53,1.74,0.03,0.65,,
2016-04-06,600188,兖矿能源,-1.74,-1.77,-1.7,-1.86,114393,121255255.0,-9.47,-4.73,-0.08,0.39,,
