日期,股票代码,开盘,最高,最低,收盘,成交量,成交额,异常情况,异常涨跌幅
2016-03-11,601398,2.5485799,2.57228762,2.52487218,2.57228762,100313485,430996928.0,,
2016-03-14,601398,2.57228762,2.57228762,2.54265297,2.5485799,199920794,861302496.0,,
2016-03-15,601398,2.54265297,2.54265297,2.50116446,2.52487218,155203345,659491376.0,,
2016-03-16,601398,2.51301832,2.57821455,2.50709139,2.56043376,290465136,1251693072.0,,
2016-03-17,601398,2.5485799,2.55450683,2.52487218,2.54265297,156098379,668653056.0,,
2016-03-18,601398,2.5485799,2.5485799,2.51301832,2.5485799,165222463,707016432.0,,
2016-03-21,601398,2.5485799,2.57228762,2.53672604,2.55450683,135307955,584178800.0,,
2016-03-22,601398,2.55450683,2.56636069,2.53672604,2.54265297,96265666,414085392.0,,
2016-03-23,601398,2.5485799,2.56636069,2.53672604,2.5485799,98446751,424380976.0,,
2016-03-24,601398,2.5485799,2.55450683,2.51894525,2.52487218,73796490,315119488.0,,
2016-03-25,601398,2.52487218,2.53672604,2.51894525,2.53672604,37351400,159544356.0,,
2016-03-28,601398,2.53079911,2.5485799,2.51894525,2.5485799,76782196,328072864.0,,
2016-03-29,601398,2.53672604,2.5485799,2.51894525,2.51894525,85868439,366811040.0,,
2016-03-30,601398,2.51301832,2.56636069,2.51301832,2.56043376,142674879,612563264.0,,
2016-03-31,601398,2.55450683,2.56636069,2.53672604,2.54265297,91863121,394752224.0,,
2016-04-01,601398,2.54265297,2.55450683,2.52487218,2.5485799,92120439,394940496.0,,
2016-04-05,601398,2.5485799,2.56636069,2.53672604,2.56043376,100099566,430893536.0,,
2016-04-06,601398,2.5485799,2.55450683,2.53672604,2.54265297,70570722,303213648.0,,
2016-04-07,601398,2.5485799,2.5485799,2.52487218,2.52487218,74637985,319392784.0,,
2016-04-08,601398,2.51894525,2.54265297,2.51894525,2.52487218,46683454,199218573.0,,
2016-04-11,601398,2.52487218,2.55450683,2.52487218,2.54265297,67374407,289293760.0,,
2016-04-12,601398,2.54265297,2.5485799,2.53672604,2.53672604,48195029,206670586.0,,
2016-04-13,601398,2.54265297,2.57228762,2.54265297,2.56043376,153412951,662774064.0,,
2016-04-14,601398,2.56636069,2.56636069,2.55450683,2.55450683,44085883,190430882.0,,
