日期,股票代码,开盘,最高,最低,收盘,成交量,成交额,异常情况,异常涨跌幅
2016/3/11,2714,5.27864433,5.42659635,5.168187,5.32120587,3146890,166095353,,
2016/3/14,2714,5.36174067,5.62319013,5.33539305,5.59076229,5128266,276609808,,
2016/3/15,2714,5.41747602,5.54617401,5.20365495,5.2897914,8482477,451538720,,
2016/3/16,2714,5.3201925,5.35667382,5.08306392,5.18338755,4297165,219628037,,
2016/3/17,2714,5.19352125,5.3201925,5.16514689,5.30701869,4055735,210878343,,
2016/3/18,2714,5.3607273,5.50158573,5.3201925,5.4823317,5508577,295761728,,
2016/3/21,2714,5.58974892,5.91706743,5.58974892,5.84815827,7850018,447568496,,
2016/3/22,2714,5.74783464,6.28694748,5.68601907,6.02144454,8394277,505538704,,
2016/3/23,2714,6.1004874,6.2322255,5.8572786,6.04475205,6450896,386869072,,
2016/3/24,2714,5.9282145,6.38321763,5.92314765,6.14608905,7974862,491605344,,
2016/3/25,2714,6.14608905,6.14608905,6.14608905,6.14608905,0,0,停牌,
2016/3/28,2714,6.14608905,6.14608905,6.14608905,6.14608905,0,0,停牌,
2016/3/29,2714,6.14608905,6.14608905,6.14608905,6.14608905,0,0,停牌,
2016/3/30,2714,6.14608905,6.14608905,6.14608905,6.14608905,0,0,停牌,
2016/3/31,2714,6.14608905,6.14608905,6.14608905,6.14608905,0,0,停牌,
2016/4/1,2714,6.14608905,6.14608905,6.14608905,6.14608905,0,0,停牌,
2016/4/5,2714,6.14608905,6.14608905,6.14608905,6.14608905,0,0,停牌,
2016/4/6,2714,6.14608905,6.14608905,6.14608905,6.14608905,0,0,停牌,
2016/4/7,2714,6.14608905,6.14608905,6.14608905,6.14608905,0,0,停牌,
2016/4/8,2714,6.14608905,6.14608905,6.14608905,6.14608905,0,0,停牌,
2016/4/11,2714,6.2322255,6.4653006,5.8268775,6.07819326,14965343,895156032,,
2016/4/12,2714,5.98090974,5.9890167,5.59481577,5.7052731,10563472,598822848,,
2016/4/13,2714,5.75391486,5.77418226,5.67284526,5.70628647,5935548,335431712,,
