股票代码,策略总收益率,策略年化收益率,策略最大回撤,策略夏普比率,策略胜率,策略盈亏比,策略交易次数,买入持有收益率,买入持有最大回撤,买入持有夏普比率,超额收益,回撤改善
000001,0.01934779290699873,0.0019387316983172642,-0.633535509,-0.001987415,0.6551724137931035,0.010358262006731149,30,0.9907918968692451,-0.674225905,0.2858124415918602,-0.971444104,0.040690396120642805
000002,-0.014088551,-0.001480046,-0.680116567,0.037965528627194337,0.7307692307692306,0.010934833084700963,27,-0.724544447,-0.851346078,-0.253192723,0.7104558960645234,0.17122951022741703
000008,-0.221127324,-0.025567383,-0.635468665,-0.096198976,0.5161290322580645,0.007567237217211662,31,-0.674859115,-0.848657364,-0.244181159,0.4537317910501795,0.213188698179205
000009,0.1117484133138249,0.01076008027259312,-0.58490168,0.09878683046965037,0.5517241379310345,0.011498341594290886,30,0.3169234782601946,-0.749141241,0.21023231564370465,-0.205175065,0.16423956066097517
000027,1.3105035731035128,0.0882924587075651,-0.356237509,0.37379491093254485,0.7,0.028106684656422753,30,0.561951573699681,-0.538494131,0.19917229556963195,0.7485519994038319,0.18225662237106482
000039,1.8602527792565418,0.11221089910420412,-0.372955143,0.4737161914418667,0.6774193548387096,0.02027055373617245,31,1.0741106352901815,-0.617146292,0.29650531473057856,0.7861421439663602,0.24419114887672322
000060,-0.248713269,-0.028478231,-0.579198195,-0.204167644,0.5769230769230769,0.006558874927997667,26,0.22503587813687065,-0.615291981,0.14179922277720208,-0.473749147,0.03609378646154326
000061,-0.161826716,-0.018220547,-0.646123744,-0.065128499,0.5714285714285714,0.008245834603011717,29,-0.148682529,-0.710239873,0.0315051590707368,-0.013144188,0.0641161287015754
000063,1.6301642370842186,0.10546389570947268,-0.61756112,0.37464448893284036,0.7272727272727273,0.016896333133330332,34,1.7370534233514199,-0.698630137,0.38086289476223717,-0.106889186,0.08106901739913688
000069,-0.234080952,-0.026583087,-0.665632653,-0.092265117,0.5384615384615384,0.008437306436819633,26,-0.531747518,-0.819628653,-0.147339886,0.29766656666369007,0.15399600065256294
000100,0.5978279215727214,0.052046276929076374,-0.562168764,0.19042504466226792,0.6428571428571429,0.014015875600245104,29,0.7145873642520624,-0.630147674,0.24576088112369762,-0.116759443,0.06797890939348235
000156,-0.423611099,-0.057001481,-0.71882497,-0.267668475,0.5357142857142857,0.0051241219970211815,28,-0.426374696,-0.694412184,-0.094220258,0.0027635967504262737,-0.024412786
000157,0.6347130075426841,0.0509067817170572,-0.613167099,0.19787853100108266,0.59375,0.01424937311496156,32,2.447823969607568,-0.629254677,0.4659724034234187,-1.813110962,0.01608757741015786
000166,0.125255831461224,0.012114674468094,-0.489309932,-0.014111739,0.6363636363636364,0.012792136162183292,34,-0.013893841,-0.434214967,0.005378838944870344,0.1391496727943765,-0.055094965
000333,1.2282378924171322,0.08601201096027289,-0.252233509,0.3819829182471217,0.6428571428571429,0.04056690357559381,28,4.549313102079077,-0.605230916,0.6256395751748376,-3.32107521,0.3529974062707626
000338,2.166503123447591,0.12355650303311606,-0.46942259,0.5034716386628008,0.7666666666666667,0.021518681920964212,30,9.170928668633385,-0.625940375,0.7715559020976981,-7.004425545,0.15651778496010088
000402,-0.230982904,-0.026186014,-0.591466221,-0.13946882,0.6,0.008631404924916408,31,-0.607956579,-0.82365772,-0.204641498,0.37697367487988587,0.23219149980613815
000413,-0.907077908,-0.258427448,-0.916274043,-0.818579538,0.5,0.0041785902883172054,21,-0.94784664,-0.97738791,-0.734022823,0.04076873190266198,0.061113866841026404
000415,0.4356856355099201,0.04217147113929087,-0.433804068,0.1423709864802465,0.6428571428571429,0.013018683405456033,28,-0.246192284,-0.769547997,-0.004404147,0.6818779194144861,0.3357439292095921
000423,0.5269789972629977,0.04369313049360968,-0.361530066,0.166690893023722,0.6,0.019237268636502512,25,0.46165448278914867,-0.634605895,0.1856584106430653,0.065324514473849,0.2730758290228737
000425,1.259357069414893,0.08691675332862549,-0.442384853,0.3719133835415702,0.75,0.019579301703979535,32,3.620379784691805,-0.434510809,0.5446254664487559,-2.361022715,-0.007874044
000503,-0.136797317,-0.015806943,-0.682006979,0.029077353343422603,0.48,0.009551303123389518,26,-0.54625323,-0.898843931,0.024313492350424386,0.40945591271416065,0.21683695129483824
000538,0.5244503732299473,0.046642137889846724,-0.4296453,0.16025356335662627,0.6666666666666665,0.014337596139827507,33,0.8034853163459931,-0.565080158,0.24354903975002926,-0.279034943,0.13543485761332988
000540,-0.675026449,-0.179726232,-0.849204941,-0.484377489,0.4375,0.013233293830505897,17,-0.903732029,-0.927697212,-0.781099335,0.22870558001305072,0.07849227018906746
000555,-0.355051908,-0.046553849,-0.800805548,-0.086890926,0.5862068965517241,0.0064302677889081505,29,-0.254441893,-0.805479261,0.08816899147421986,-0.100610015,0.0046737137039691845
000559,1.5036963647138015,0.0977911167958123,-0.549834769,0.37878921627632056,0.59375,0.02398024403547833,33,0.9425340847492394,-0.669823344,0.28220764483615857,0.561162279964562,0.11998857496850818
000568,-0.184514557,-0.020539075,-0.578596686,-0.088685857,0.52,0.008388907698538258,25,5.085099627952025,-0.651464,0.5839721437827777,-5.269614185,0.07286731379710361
000623,0.4059164200608709,0.03501938992960629,-0.302187501,0.11180352278579686,0.5,0.01698479292268533,33,0.26049961992938475,-0.504473993,0.10320431931678321,0.14541680013148617,0.20228649207448568
000625,0.18234167973437862,0.017159133944525617,-0.508917958,0.08224344028081461,0.5714285714285714,0.012524456380840989,29,0.7471282050263275,-0.626576725,0.2718407811751322,-0.564786525,0.11765876680195475
000627,-0.309051385,-0.039645588,-0.731659594,-0.047797895,0.48275862068965514,0.009781392338069107,30,-0.777285058,-0.864130336,-0.293880306,0.46823367321238324,0.1324707423629097
000630,0.225580031215896,0.02084190553205212,-0.420625183,0.052024497492539644,0.5862068965517241,0.012709672691864168,29,2.0880891187298083,-0.514478873,0.41393474734903746,-1.862509088,0.09385368991291088
000651,0.7052181607710792,0.058812583914431116,-0.386622147,0.22121890991696416,0.6296296296296297,0.01639534410865691,28,2.4061031485152315,-0.527413891,0.47044091097775864,-1.700884988,0.14079174348514903
000671,-0.782223597,-0.19216714,-0.88465852,-0.583071618,0.5454545454545454,0.010824191275730649,23,-0.930753505,-0.959473321,-0.730742053,0.1485299071260765,0.07481480043668612
000686,-0.141467559,-0.01532355,-0.60799849,-0.126899239,0.7307692307692306,0.009086916900451169,27,-0.114544237,-0.636432981,0.02972094984196712,-0.026923322,0.028434490743521508
000709,-0.213176143,-0.023931249,-0.634606668,-0.179168698,0.6153846153846154,0.007849591230401621,26,0.079650594937694,-0.669186088,0.06656450980828792,-0.292826738,0.034579420389780895
000712,0.15397096447986347,0.014604044586250975,-0.715394137,0.12528990720146113,0.59375,0.011083144445608371,32,-0.287707009,-0.713889987,0.08104457656790565,0.44167797341334475,-0.001504149
000718,-0.550542359,-0.080485991,-0.700031529,-0.298355742,0.4642857142857143,0.006818523355456015,29,-0.753389783,-0.846918135,-0.272143899,0.2028474234280418,0.1468866056539156
000725,1.3204983256421214,0.08876716219074776,-0.519917893,0.3526066943747833,0.76,0.016089601786344342,25,1.063672562694089,-0.610497557,0.295285220028269,0.25682576294803255,0.09057966428674348
000728,-0.192538338,-0.021586032,-0.660019477,-0.134516286,0.5806451612903226,0.0074902571673964745,32,0.07459869536437536,-0.661290463,0.0961203958468197,-0.267137034,0.0012709862835478703
000738,-0.117062495,-0.012499659,-0.571823693,-0.050422365,0.6,0.008948821075352753,25,-0.014368829,-0.63150034,0.10941533087466712,-0.102693666,0.05967664650994479
000750,1.3965393785468416,0.09373318414363328,-0.582021775,0.35336156019353665,0.6428571428571429,0.027477485953483125,29,-0.135215936,-0.645241735,0.035923665377056144,1.5317553146646916,0.06321996055042944
000768,0.7815623616796081,0.06008004805786338,-0.502530994,0.2384931426206359,0.6060606060606061,0.014359310136745986,33,0.8499647314777434,-0.537848207,0.27259262175785454,-0.06840237,0.03531721227947493
000776,0.8173433586187955,0.062211892922070744,-0.344622992,0.25204483216153445,0.6764705882352942,0.018007183294287882,34,0.9070005053579844,-0.534000292,0.26765335409576,-0.089657147,0.18937729973810896
000778,1.2769601690115673,0.08668569730226781,-0.426758741,0.36807370661133093,0.6666666666666665,0.02276341048937176,33,0.28234770457370706,-0.576204302,0.12738748942653166,0.9946124644378602,0.14944556104522405
000783,0.8996946327815504,0.06697853471618354,-0.524644801,0.2707775190646099,0.7058823529411765,0.020708061331496604,35,0.10289816729568567,-0.661937595,0.0896757893682703,0.7967964654858646,0.13729279411347114
000792,-0.079389167,-0.009554199,-0.491644515,-0.049309035,0.64,0.009457539619701184,25,2.2732978128471735,-0.721278721,0.31343782573193285,-2.35268698,0.22963420643578294
000793,-0.231798447,-0.02747546,-0.790356281,0.0014261503020522796,0.6896551724137931,0.008271986052304498,29,-0.648587804,-0.936056961,-0.03319684,0.4167893575201375,0.14570068015245183
000800,0.15308501219654058,0.014549378652568556,-0.436594569,0.04874665736373607,0.65625,0.012139719156576667,33,-0.377257695,-0.650852408,-0.061697287,0.5303427067379147,0.21425783858713168
000826,-0.617696995,-0.093978254,-0.776602519,-0.284936727,0.5625,0.005216291444198075,32,-0.875839003,-0.949700591,-0.342712824,0.25814200843464635,0.1730980715042426
000839,-0.710266686,-0.117641238,-0.822609669,-0.348863908,0.35714285714285715,0.003010857498089193,28,-0.330901083,-0.867716242,0.05665666691953012,-0.379365603,0.04510657261799679
000858,0.4371195679246198,0.037317379148759766,-0.606882123,0.14280339487971666,0.7037037037037037,0.013238828349391775,28,4.154179425441875,-0.659829408,0.5632342057020833,-3.717059858,0.05294728563488029
000876,-0.045182257,-0.004669858,-0.702105402,-0.027975586,0.6153846153846154,0.009714213816659236,27,0.36364053897315807,-0.80610761,0.17273201336769056,-0.408822796,0.1040022081051184
000895,0.8601811923942877,0.06504718884027705,-0.476561823,0.27019482342944195,0.75,0.016277722261516622,33,1.4374748275672748,-0.610505181,0.3528492792145322,-0.577293635,0.1339433583550292
000917,0.12077903984888216,0.01180692412929707,-0.563774571,0.07430763515997195,0.65625,0.011902958640997018,33,-0.26239791,-0.805717892,0.07791396119162343,0.38317694960280435,0.2419433208765995
000938,0.6046199506381051,0.04962748598875333,-0.531971726,0.20239517890250494,0.6071428571428571,0.013445017360591907,29,0.2889612302576732,-0.604758094,0.20395063436508354,0.31565872038043197,0.07278636879513278
000963,-0.257746718,-0.029664856,-0.619482979,-0.107065954,0.5925925925925926,0.00896036173180082,28,1.0982142289444203,-0.616802005,0.3073056945596115,-1.355960947,-0.002680973
000977,-0.071199512,-0.007465174,-0.619764396,0.04601933629566691,0.6086956521739131,0.009684408532108002,24,2.589054145785562,-0.58713393,0.4449307590962462,-2.660253658,-0.032630467
000983,0.015688740210688668,0.001579194030617348,-0.442761046,-0.002304056,0.5517241379310345,0.010116053755922767,29,0.8266317335525168,-0.596307494,0.2797365394179602,-0.810942993,0.15354644844603285
001979,-0.114810257,-0.012311049,-0.485866438,-0.07048421,0.5862068965517241,0.009238087563252345,29,-0.074426823,-0.652723236,0.062053979051694186,-0.040383434,0.16685679787794414
002007,0.37600858667875126,0.03277335015113558,-0.553182485,0.11295483005939065,0.7407407407407408,0.012483634163737661,28,0.32021615636467343,-0.796475963,0.1678643562740888,0.055792430314077775,0.2432934783215677
002008,2.4588765923238114,0.1335719997109195,-0.523977588,0.48299745777497166,0.696969696969697,0.020553963810138565,33,2.920229629620944,-0.743509257,0.46721551685274737,-0.461353037,0.21953166897124135
002024,-0.748808549,-0.131080941,-0.857725916,-0.668439695,0.4666666666666666,0.004359168551637745,31,-0.849957499,-0.929511295,-0.557971652,0.1011489500845272,0.0717853791735027
